証券コード,会社名,基準日,区分,株主数,所有株式数_単元,割合
2461,株式会社ファンコミュニケーションズ,2025-12-31,計,"10,376","662,853",100
2461,株式会社ファンコミュニケーションズ,2025-12-31,単元未満株式の状況（株）,,"25,129",
2462,ライク株式会社,2026-05-31,政府及び地方公共団体,,,
2462,ライク株式会社,2026-05-31,金融機関,8,"16,198",7.92
2462,ライク株式会社,2026-05-31,金融商品取引業者,11,271,0.13
2462,ライク株式会社,2026-05-31,その他の法人,56,"89,614",43.83
2462,ライク株式会社,2026-05-31,外国法人等 個人以外,47,"1,659",0.81
2462,ライク株式会社,2026-05-31,外国法人等 個人,43,350,0.17
2462,ライク株式会社,2026-05-31,個人その他,"7,689","96,364",47.13
2462,ライク株式会社,2026-05-31,計,"7,854","204,456",100.00
2462,ライク株式会社,2026-05-31,単元未満株式の状況（株）,,"19,200",
2464,株式会社ＡｏｂａーＢＢＴ,2026-03-31,政府及び地方公共団体,,,
2464,株式会社ＡｏｂａーＢＢＴ,2026-03-31,金融機関,2,"12,799",8.98
2464,株式会社ＡｏｂａーＢＢＴ,2026-03-31,金融商品取引業者,16,"1,313",0.92
2464,株式会社ＡｏｂａーＢＢＴ,2026-03-31,その他の法人,41,"5,234",3.67
2464,株式会社ＡｏｂａーＢＢＴ,2026-03-31,外国法人等 個人以外,15,"7,876",5.52
2464,株式会社ＡｏｂａーＢＢＴ,2026-03-31,外国法人等 個人,34,231,0.16
2464,株式会社ＡｏｂａーＢＢＴ,2026-03-31,個人その他,"3,184","115,135",80.75
2464,株式会社ＡｏｂａーＢＢＴ,2026-03-31,計,"3,292","142,588",100.00
2464,株式会社ＡｏｂａーＢＢＴ,2026-03-31,単元未満株式の状況（株）,,"5,300",
2467,株式会社ＶＬＣセキュリティ,2026-03-31,政府及び地方公共団体,,,
2467,株式会社ＶＬＣセキュリティ,2026-03-31,金融機関,1,143,0.10
2467,株式会社ＶＬＣセキュリティ,2026-03-31,金融商品取引業者,8,"6,989",5.04
2467,株式会社ＶＬＣセキュリティ,2026-03-31,その他の法人,22,"24,284",17.52
2467,株式会社ＶＬＣセキュリティ,2026-03-31,外国法人等 個人以外,2,305,0.22
2467,株式会社ＶＬＣセキュリティ,2026-03-31,外国法人等 個人,23,620,0.45
2467,株式会社ＶＬＣセキュリティ,2026-03-31,個人その他,"4,521","106,253",76.67
2467,株式会社ＶＬＣセキュリティ,2026-03-31,計,"4,577","138,594",100.00
2467,株式会社ＶＬＣセキュリティ,2026-03-31,単元未満株式の状況（株）,,"1,400",
2469,ヒビノ株式会社,2026-03-31,政府及び地方公共団体,,,
2469,ヒビノ株式会社,2026-03-31,金融機関,9,"14,885",14.51
2469,ヒビノ株式会社,2026-03-31,金融商品取引業者,14,"3,074",3.00
2469,ヒビノ株式会社,2026-03-31,その他の法人,51,"36,308",35.40
2469,ヒビノ株式会社,2026-03-31,外国法人等 個人以外,53,"6,898",6.73
2469,ヒビノ株式会社,2026-03-31,外国法人等 個人,10,31,0.03
2469,ヒビノ株式会社,2026-03-31,個人その他,"5,337","41,366",40.33
2469,ヒビノ株式会社,2026-03-31,計,"5,474","102,562",100.00
2469,ヒビノ株式会社,2026-03-31,単元未満株式の状況（株）,,"9,280",
246A,株式会社アスア,2025-06-30,政府及び地方公共団体,,,
246A,株式会社アスア,2025-06-30,金融機関,3,200,0.75
246A,株式会社アスア,2025-06-30,金融商品取引業者,15,"1,678",6.25
246A,株式会社アスア,2025-06-30,その他の法人,16,"9,729",36.25
246A,株式会社アスア,2025-06-30,外国法人等 個人以外,11,290,1.08
246A,株式会社アスア,2025-06-30,外国法人等 個人,14,50,0.19
246A,株式会社アスア,2025-06-30,個人その他,"1,383","14,889",55.48
246A,株式会社アスア,2025-06-30,計,"1,442","26,836",100
246A,株式会社アスア,2025-06-30,単元未満株式の状況（株）,,"2,800",
2471,株式会社エスプール,2025-11-30,政府及び地方公共団体,,,
2471,株式会社エスプール,2025-11-30,金融機関,10,"104,772",
2471,株式会社エスプール,2025-11-30,金融商品取引業者,24,"25,333",
2471,株式会社エスプール,2025-11-30,その他の法人,76,"88,931",
2471,株式会社エスプール,2025-11-30,外国法人等 個人以外,74,"84,402",
2471,株式会社エスプール,2025-11-30,外国法人等 個人,90,"1,907",
2471,株式会社エスプール,2025-11-30,個人その他,"13,768","484,464",
2471,株式会社エスプール,2025-11-30,計,"14,042","789,809",
2471,株式会社エスプール,2025-11-30,単元未満株式の状況（株）,,"26,600",
2475,ＷＤＢホールディングス株式会社,2026-03-31,政府及び地方公共団体,,,
2475,ＷＤＢホールディングス株式会社,2026-03-31,金融機関,12,"19,941",9.95
2475,ＷＤＢホールディングス株式会社,2026-03-31,金融商品取引業者,20,"1,894",0.94
2475,ＷＤＢホールディングス株式会社,2026-03-31,その他の法人,59,"97,681",48.73
2475,ＷＤＢホールディングス株式会社,2026-03-31,外国法人等 個人以外,71,"25,669",12.81
2475,ＷＤＢホールディングス株式会社,2026-03-31,外国法人等 個人,57,123,0.06
2475,ＷＤＢホールディングス株式会社,2026-03-31,個人その他,"10,242","55,147",27.51
2475,ＷＤＢホールディングス株式会社,2026-03-31,計,"10,461","200,455",100.00
2475,ＷＤＢホールディングス株式会社,2026-03-31,単元未満株式の状況（株）,,"14,500",
2477,手間いらず株式会社,2025-06-30,政府及び地方公共団体,,,
2477,手間いらず株式会社,2025-06-30,金融機関,9,"5,862",9.05
2477,手間いらず株式会社,2025-06-30,金融商品取引業者,23,890,1.37
2477,手間いらず株式会社,2025-06-30,その他の法人,27,"37,396",57.76
2477,手間いらず株式会社,2025-06-30,外国法人等 個人以外,70,"6,701",10.35
2477,手間いらず株式会社,2025-06-30,外国法人等 個人,16,56,0.09
2477,手間いらず株式会社,2025-06-30,個人その他,"1,921","13,843",21.38
2477,手間いらず株式会社,2025-06-30,計,"2,066","64,748",100.00
2477,手間いらず株式会社,2025-06-30,単元未満株式の状況（株）,,"6,161",
2479,株式会社ジェイテック,2026-03-31,政府及び地方公共団体,,,
2479,株式会社ジェイテック,2026-03-31,金融機関,1,93,0.11
2479,株式会社ジェイテック,2026-03-31,金融商品取引業者,19,"3,147",3.67
2479,株式会社ジェイテック,2026-03-31,その他の法人,33,"2,032",2.37
2479,株式会社ジェイテック,2026-03-31,外国法人等 個人以外,17,"1,401",1.64
2479,株式会社ジェイテック,2026-03-31,外国法人等 個人,25,818,0.95
2479,株式会社ジェイテック,2026-03-31,個人その他（注）,"6,540","78,121",91.26
2479,株式会社ジェイテック,2026-03-31,計,"6,635","85,612",100
2479,株式会社ジェイテック,2026-03-31,単元未満株式の状況（株）,,"11,200",
247A,Ａｉロボティクス株式会社,2026-03-31,政府及び地方公共団体,,,
247A,Ａｉロボティクス株式会社,2026-03-31,金融機関,6,"50,839",7.85
247A,Ａｉロボティクス株式会社,2026-03-31,金融商品取引業者,32,"26,729",4.13
247A,Ａｉロボティクス株式会社,2026-03-31,その他の法人,210,"58,049",8.96
247A,Ａｉロボティクス株式会社,2026-03-31,外国法人等 個人以外,87,"43,066",6.65
247A,Ａｉロボティクス株式会社,2026-03-31,外国法人等 個人,205,"1,040",0.16
247A,Ａｉロボティクス株式会社,2026-03-31,個人その他,"30,506","468,074",72.26
247A,Ａｉロボティクス株式会社,2026-03-31,計,"31,046","647,797",100.00
247A,Ａｉロボティクス株式会社,2026-03-31,単元未満株式の状況（株）,,"120,300",
2480,システム・ロケーション株式会社,2026-03-31,政府及び地方公共団体,,,
2480,システム・ロケーション株式会社,2026-03-31,金融機関,1,9,0.0
2480,システム・ロケーション株式会社,2026-03-31,金融商品取引業者,8,72,0.2
2480,システム・ロケーション株式会社,2026-03-31,その他の法人,16,"17,625",49.4
2480,システム・ロケーション株式会社,2026-03-31,外国法人等 個人以外,9,77,0.2
2480,システム・ロケーション株式会社,2026-03-31,外国法人等 個人,5,8,0.0
2480,システム・ロケーション株式会社,2026-03-31,個人その他,"1,078","17,895",50.2
2480,システム・ロケーション株式会社,2026-03-31,計,"1,117","35,686",100.0
2480,システム・ロケーション株式会社,2026-03-31,単元未満株式の状況（株）,,"1,400",
2481,株式会社タウンニュース社,2025-06-30,政府及び地方公共団体,,,
2481,株式会社タウンニュース社,2025-06-30,金融機関,,,
2481,株式会社タウンニュース社,2025-06-30,金融商品取引業者,14,78,0.14
2481,株式会社タウンニュース社,2025-06-30,その他の法人,18,"28,415",50.98
2481,株式会社タウンニュース社,2025-06-30,外国法人等 個人以外,5,27,0.05
2481,株式会社タウンニュース社,2025-06-30,外国法人等 個人,4,15,0.03
2481,株式会社タウンニュース社,2025-06-30,個人その他,"1,427","27,200",48.80
2481,株式会社タウンニュース社,2025-06-30,計,"1,468","55,735",100.00
2481,株式会社タウンニュース社,2025-06-30,単元未満株式の状況（株）,,"1,820",
2483,株式会社翻訳センター,2026-03-31,政府及び地方公共団体,,,
2483,株式会社翻訳センター,2026-03-31,金融機関,3,431,1.28
2483,株式会社翻訳センター,2026-03-31,金融商品取引業者,16,"1,103",3.27
2483,株式会社翻訳センター,2026-03-31,その他の法人,36,"7,879",23.42
2483,株式会社翻訳センター,2026-03-31,外国法人等 個人以外,21,"1,536",4.56
2483,株式会社翻訳センター,2026-03-31,外国法人等 個人,16,148,0.44
2483,株式会社翻訳センター,2026-03-31,個人その他,"2,295","22,533",67.00
2483,株式会社翻訳センター,2026-03-31,計,"2,387","33,630",100.00
2483,株式会社翻訳センター,2026-03-31,単元未満株式の状況（株）,,"6,000",
2484,株式会社出前館,2025-08-31,政府及び地方公共団体,0,0,0.00
2484,株式会社出前館,2025-08-31,金融機関,2,382,0.03
2484,株式会社出前館,2025-08-31,金融商品取引業者,25,"22,885",2.03
2484,株式会社出前館,2025-08-31,その他の法人,72,"396,859",35.34
2484,株式会社出前館,2025-08-31,外国法人等 個人以外,79,"251,551",22.4
2484,株式会社出前館,2025-08-31,外国法人等 個人,218,"6,543",0.58
2484,株式会社出前館,2025-08-31,個人その他,"17,608","444,648",39.59
2484,株式会社出前館,2025-08-31,計,"18,004","1,122,868",100.00
2484,株式会社出前館,2025-08-31,単元未満株式の状況(株),,"93,630",
2485,株式会社ティア,2025-09-30,政府及び地方公共団体,,,
2485,株式会社ティア,2025-09-30,金融機関,3,492,0.22
2485,株式会社ティア,2025-09-30,金融商品取引業者,19,"6,097",2.71
2485,株式会社ティア,2025-09-30,その他の法人,94,"86,453",38.45
2485,株式会社ティア,2025-09-30,外国法人等 個人以外,38,"14,342",6.38
2485,株式会社ティア,2025-09-30,外国法人等 個人,27,244,0.11
2485,株式会社ティア,2025-09-30,個人その他,"17,987","117,197",52.13
2485,株式会社ティア,2025-09-30,計,"18,168","224,825",100.00
2485,株式会社ティア,2025-09-30,単元未満株式の状況（株）,,"27,600",
2488,ＪＴＰ株式会社,2026-03-31,政府及び地方公共団体,,,
2488,ＪＴＰ株式会社,2026-03-31,金融機関,1,119,0.2
2488,ＪＴＰ株式会社,2026-03-31,金融商品取引業者,20,"3,135",5.2
2488,ＪＴＰ株式会社,2026-03-31,その他の法人,36,"7,163",12.0
2488,ＪＴＰ株式会社,2026-03-31,外国法人等 個人以外,22,"1,914",3.2
2488,ＪＴＰ株式会社,2026-03-31,外国法人等 個人,27,319,0.5
2488,ＪＴＰ株式会社,2026-03-31,個人その他,"3,949","47,368",78.9
2488,ＪＴＰ株式会社,2026-03-31,計,"4,055","60,018",100.0
2488,ＪＴＰ株式会社,2026-03-31,単元未満株式の状況（株）,,"13,800",
2489,株式会社アドウェイズ,2025-12-31,政府及び地方公共団体,,,
2489,株式会社アドウェイズ,2025-12-31,金融機関,8,"24,353",5.80
2489,株式会社アドウェイズ,2025-12-31,金融商品取引業者,26,"9,745",2.32
2489,株式会社アドウェイズ,2025-12-31,その他の法人,62,"106,354",25.33
2489,株式会社アドウェイズ,2025-12-31,外国法人等 個人以外,37,"7,268",1.73
2489,株式会社アドウェイズ,2025-12-31,外国法人等 個人,84,846,0.20
2489,株式会社アドウェイズ,2025-12-31,個人その他,"12,447","271,396",64.62
2489,株式会社アドウェイズ,2025-12-31,計,"12,664","419,962",100.00
2489,株式会社アドウェイズ,2025-12-31,単元未満株式の状況(株),,"9,800",
248A,株式会社キッズスター,2025-12-31,政府及び地方公共団体,,,
248A,株式会社キッズスター,2025-12-31,金融機関,1,47,0.18
248A,株式会社キッズスター,2025-12-31,金融商品取引業者,13,"2,767",10.66
248A,株式会社キッズスター,2025-12-31,その他の法人,18,"8,936",34.41
248A,株式会社キッズスター,2025-12-31,外国法人等 個人以外,12,153,0.59
248A,株式会社キッズスター,2025-12-31,外国法人等 個人,2,2,0.01
248A,株式会社キッズスター,2025-12-31,個人その他,"1,239","14,064",54.16
248A,株式会社キッズスター,2025-12-31,計,"1,285","25,969",100.00
248A,株式会社キッズスター,2025-12-31,単元未満株式の状況(株),,"1,600",
2491,バリューコマース株式会社,2025-12-31,政府及び地方公共団体,,,
2491,バリューコマース株式会社,2025-12-31,金融機関,8,"28,116",8.17
2491,バリューコマース株式会社,2025-12-31,金融商品取引業者,30,"9,633",2.80
2491,バリューコマース株式会社,2025-12-31,その他の法人,112,"3,802",1.11
2491,バリューコマース株式会社,2025-12-31,外国法人等 個人以外,105,"43,624",12.67
2491,バリューコマース株式会社,2025-12-31,外国法人等 個人,84,"1,758",0.51
2491,バリューコマース株式会社,2025-12-31,個人その他,"18,244","257,251",74.74
2491,バリューコマース株式会社,2025-12-31,計,"18,583","344,184",100.00
2491,バリューコマース株式会社,2025-12-31,単元未満株式の状況（株）,,"52,600",
2492,株式会社インフォマート,2025-12-31,政府及び地方公共団体,,,
2492,株式会社インフォマート,2025-12-31,金融機関,19,"431,554",16.64
2492,株式会社インフォマート,2025-12-31,金融商品取引業者,32,"29,133",1.12
2492,株式会社インフォマート,2025-12-31,その他の法人,40,"65,087",2.51
2492,株式会社インフォマート,2025-12-31,外国法人等 個人以外,162,"1,275,660",49.18
2492,株式会社インフォマート,2025-12-31,外国法人等 個人,37,486,0.02
2492,株式会社インフォマート,2025-12-31,個人その他,"12,222","791,955",30.53
2492,株式会社インフォマート,2025-12-31,計,"12,512","2,593,875",100
2492,株式会社インフォマート,2025-12-31,単元未満株式の状況（株）,,"43,700",
2493,イーサポートリンク株式会社,2025-11-30,政府及び地方公共団体,,,
2493,イーサポートリンク株式会社,2025-11-30,金融機関,1,1,0.00
2493,イーサポートリンク株式会社,2025-11-30,金融商品取引業者,17,"1,360",3.08
2493,イーサポートリンク株式会社,2025-11-30,その他の法人,71,"10,972",24.83
2493,イーサポートリンク株式会社,2025-11-30,外国法人等 個人以外,6,237,0.54
2493,イーサポートリンク株式会社,2025-11-30,外国法人等 個人,47,56,0.13
2493,イーサポートリンク株式会社,2025-11-30,個人その他,"21,499","31,558",71.42
2493,イーサポートリンク株式会社,2025-11-30,計,"21,641","44,184",100.00
2493,イーサポートリンク株式会社,2025-11-30,単元未満株式の状況（株）,,"6,400",
2497,ユナイテッド株式会社,2026-03-31,政府及び地方公共団体,,,
2497,ユナイテッド株式会社,2026-03-31,金融機関,2,64,0.01
2497,ユナイテッド株式会社,2026-03-31,金融商品取引業者,10,690,0.17
2497,ユナイテッド株式会社,2026-03-31,その他の法人,92,"190,781",47.25
2497,ユナイテッド株式会社,2026-03-31,外国法人等 個人以外,44,"6,098",1.51
2497,ユナイテッド株式会社,2026-03-31,外国法人等 個人,58,622,0.15
2497,ユナイテッド株式会社,2026-03-31,個人その他,"15,701","205,485",50.89
2497,ユナイテッド株式会社,2026-03-31,計,"15,907","403,740",100.00
2497,ユナイテッド株式会社,2026-03-31,単元未満株式の状況(株),,"38,690",
2498,株式会社オリエンタルコンサルタンツホールディングス,2025-09-30,政府及び地方公共団体,1,382,0.6
2498,株式会社オリエンタルコンサルタンツホールディングス,2025-09-30,金融機関,11,"11,461",18.6
2498,株式会社オリエンタルコンサルタンツホールディングス,2025-09-30,金融商品取引業者,15,256,0.4
2498,株式会社オリエンタルコンサルタンツホールディングス,2025-09-30,その他の法人,33,"12,046",19.6
2498,株式会社オリエンタルコンサルタンツホールディングス,2025-09-30,外国法人等 個人以外,32,521,0.8
2498,株式会社オリエンタルコンサルタンツホールディングス,2025-09-30,外国法人等 個人,14,96,0.2
2498,株式会社オリエンタルコンサルタンツホールディングス,2025-09-30,個人その他,"2,172","36,814",59.8
2498,株式会社オリエンタルコンサルタンツホールディングス,2025-09-30,計,"2,278","61,576",100.0
2498,株式会社オリエンタルコンサルタンツホールディングス,2025-09-30,単元未満株式の状況（株）,,"11,820",
2499,日本和装ホールディングス株式会社,2025-12-31,政府及び地方公共団体,,,
2499,日本和装ホールディングス株式会社,2025-12-31,金融機関,1,53,0.06
2499,日本和装ホールディングス株式会社,2025-12-31,金融商品取引業者,13,"1,281",1.40
2499,日本和装ホールディングス株式会社,2025-12-31,その他の法人,42,"1,988",2.18
2499,日本和装ホールディングス株式会社,2025-12-31,外国法人等 個人以外,11,293,0.32
2499,日本和装ホールディングス株式会社,2025-12-31,外国法人等 個人,6,15,0.02
2499,日本和装ホールディングス株式会社,2025-12-31,個人その他,"6,696","87,611",96.02
2499,日本和装ホールディングス株式会社,2025-12-31,計,"6,769","91,241",100.00
2499,日本和装ホールディングス株式会社,2025-12-31,単元未満株式の状況（株）,,"9,900",
2501,サッポロホールディングス株式会社,2025-12-31,政府及び地方公共団体,,,
2501,サッポロホールディングス株式会社,2025-12-31,金融機関,49,"268,024",34.14
2501,サッポロホールディングス株式会社,2025-12-31,金融商品取引業者,26,"12,107",1.54
2501,サッポロホールディングス株式会社,2025-12-31,その他の法人,594,"73,064",9.31
2501,サッポロホールディングス株式会社,2025-12-31,外国法人等 個人以外,251,"277,734",35.37
2501,サッポロホールディングス株式会社,2025-12-31,外国法人等 個人,70,154,0.02
2501,サッポロホールディングス株式会社,2025-12-31,個人その他,"51,430","154,099",19.62
2501,サッポロホールディングス株式会社,2025-12-31,計,"52,420","785,182",100.00
2501,サッポロホールディングス株式会社,2025-12-31,単元未満株式の状況（株）,,"276,098",
2502,アサヒグループホールディングス株式会社,2025-12-31,政府及び地方公共団体,,,
2502,アサヒグループホールディングス株式会社,2025-12-31,金融機関,151,"4,847,120",31.894
2502,アサヒグループホールディングス株式会社,2025-12-31,金融商品取引業者,63,"1,065,950",7.014
2502,アサヒグループホールディングス株式会社,2025-12-31,その他の法人,"1,743","615,510",4.050
2502,アサヒグループホールディングス株式会社,2025-12-31,外国法人等 個人以外,904,"6,416,846",42.223
2502,アサヒグループホールディングス株式会社,2025-12-31,外国法人等 個人,940,"4,888",0.032
2502,アサヒグループホールディングス株式会社,2025-12-31,個人その他,"211,403","2,246,900",14.784
2502,アサヒグループホールディングス株式会社,2025-12-31,計,"215,204","15,197,214",100.000
2502,アサヒグループホールディングス株式会社,2025-12-31,単元未満株式の状況（株）,,"1,288,686",
2503,キリンホールディングス株式会社,2025-12-31,政府及び地方公共団体,3,123,0.00
2503,キリンホールディングス株式会社,2025-12-31,金融機関,160,"2,736,420",30.00
2503,キリンホールディングス株式会社,2025-12-31,金融商品取引業者,48,"524,176",5.75
2503,キリンホールディングス株式会社,2025-12-31,その他の法人,"2,117","276,886",3.04
2503,キリンホールディングス株式会社,2025-12-31,外国法人等 個人以外,793,"2,355,767",25.83
2503,キリンホールディングス株式会社,2025-12-31,外国法人等 個人,633,"1,737",0.02
2503,キリンホールディングス株式会社,2025-12-31,個人その他,"442,778","3,226,062",35.37
2503,キリンホールディングス株式会社,2025-12-31,計,"446,532","9,121,171",100.00
2503,キリンホールディングス株式会社,2025-12-31,単元未満株式の状況(株),,"1,882,900",
250A,シマダヤ株式会社,2026-03-31,政府及び地方公共団体,,,
250A,シマダヤ株式会社,2026-03-31,金融機関,9,"9,895",6.52
250A,シマダヤ株式会社,2026-03-31,金融商品取引業者,24,"2,848",1.88
250A,シマダヤ株式会社,2026-03-31,その他の法人,91,"61,015",40.22
250A,シマダヤ株式会社,2026-03-31,外国法人等 個人以外,81,"7,191",4.74
250A,シマダヤ株式会社,2026-03-31,外国法人等 個人,23,36,0.02
250A,シマダヤ株式会社,2026-03-31,個人その他,"14,675","70,704",46.61
250A,シマダヤ株式会社,2026-03-31,計,"14,903","151,689",100.0
250A,シマダヤ株式会社,2026-03-31,単元未満株式の状況(株),,"36,797",
2531,宝ホールディングス株式会社,2026-03-31,政府及び地方公共団体,,,
2531,宝ホールディングス株式会社,2026-03-31,金融機関,36,"645,333",32.74
2531,宝ホールディングス株式会社,2026-03-31,金融商品取引業者,28,"57,877",2.94
2531,宝ホールディングス株式会社,2026-03-31,その他の法人,397,"244,497",12.40
2531,宝ホールディングス株式会社,2026-03-31,外国法人等 個人以外,218,"628,706",31.89
2531,宝ホールディングス株式会社,2026-03-31,外国法人等 個人,110,753,0.04
2531,宝ホールディングス株式会社,2026-03-31,個人その他,"73,655","394,019",19.99
2531,宝ホールディングス株式会社,2026-03-31,計,"74,444","1,971,185",100
2531,宝ホールディングス株式会社,2026-03-31,単元未満株式の状況（株）,,"133,543",
2533,オエノンホールディングス株式会社,2025-12-31,政府及び地方公共団体,,,
2533,オエノンホールディングス株式会社,2025-12-31,金融機関,20,"170,615",26.04
2533,オエノンホールディングス株式会社,2025-12-31,金融商品取引業者,22,"13,184",2.01
2533,オエノンホールディングス株式会社,2025-12-31,その他の法人,125,"53,319",8.14
2533,オエノンホールディングス株式会社,2025-12-31,外国法人等 個人以外,50,"181,255",27.66
2533,オエノンホールディングス株式会社,2025-12-31,外国法人等 個人,7,35,0.01
2533,オエノンホールディングス株式会社,2025-12-31,個人その他,"7,385","236,768",36.14
2533,オエノンホールディングス株式会社,2025-12-31,計,"7,609","655,176",100.00
2533,オエノンホールディングス株式会社,2025-12-31,単元未満株式の状況(株),,"68,596",
253A,株式会社ＥＴＳグループ,2025-09-30,政府及び地方公共団体,,,
253A,株式会社ＥＴＳグループ,2025-09-30,金融機関,2,217,0.34
253A,株式会社ＥＴＳグループ,2025-09-30,金融商品取引業者,17,"2,115",3.32
253A,株式会社ＥＴＳグループ,2025-09-30,その他の法人,40,"30,810",48.41
253A,株式会社ＥＴＳグループ,2025-09-30,外国法人等 個人以外,19,"1,319",2.07
253A,株式会社ＥＴＳグループ,2025-09-30,外国法人等 個人,15,53,0.08
253A,株式会社ＥＴＳグループ,2025-09-30,個人その他,"4,582","29,127",45.76
253A,株式会社ＥＴＳグループ,2025-09-30,計,"4,675","63,641",100
253A,株式会社ＥＴＳグループ,2025-09-30,単元未満株式の状況（株）,,"4,803",
2540,養命酒製造株式会社,2026-03-31,政府及び地方公共団体,,,
2540,養命酒製造株式会社,2026-03-31,金融機関,16,"31,670",19.22
2540,養命酒製造株式会社,2026-03-31,金融商品取引業者,25,"2,973",1.80
2540,養命酒製造株式会社,2026-03-31,その他の法人,84,"59,325",36.00
2540,養命酒製造株式会社,2026-03-31,外国法人等 個人以外,37,"20,657",12.53
2540,養命酒製造株式会社,2026-03-31,外国法人等 個人,12,16,0.01
2540,養命酒製造株式会社,2026-03-31,個人その他,"5,767","50,164",30.44
2540,養命酒製造株式会社,2026-03-31,計,"5,941","164,805",100.00
2540,養命酒製造株式会社,2026-03-31,単元未満株式の状況(株),,"19,500",
254A,ＡＩフュージョンキャピタルグループ株式会社,2026-03-31,政府及び地方公共団体,0,0,0.00
254A,ＡＩフュージョンキャピタルグループ株式会社,2026-03-31,金融機関,1,85,0.08
254A,ＡＩフュージョンキャピタルグループ株式会社,2026-03-31,金融商品取引業者,19,"10,081",10.39
254A,ＡＩフュージョンキャピタルグループ株式会社,2026-03-31,その他の法人,36,"20,950",21.60
254A,ＡＩフュージョンキャピタルグループ株式会社,2026-03-31,外国法人等 個人以外,19,"1,880",1.93
254A,ＡＩフュージョンキャピタルグループ株式会社,2026-03-31,外国法人等 個人,24,152,0.15
254A,ＡＩフュージョンキャピタルグループ株式会社,2026-03-31,個人その他,"4,972","63,811",65.81
254A,ＡＩフュージョンキャピタルグループ株式会社,2026-03-31,計,"5,071","96,959",100.00
254A,ＡＩフュージョンキャピタルグループ株式会社,2026-03-31,単元未満株式の状況（株）,,"6,700",
2551,マルサンアイ株式会社,2025-09-20,政府及び地方公共団体,,,
2551,マルサンアイ株式会社,2025-09-20,金融機関,7,277,1.21
2551,マルサンアイ株式会社,2025-09-20,金融商品取引業者,4,6,0.03
2551,マルサンアイ株式会社,2025-09-20,その他の法人,53,"4,782",20.85
2551,マルサンアイ株式会社,2025-09-20,外国法人等 個人以外,,,
2551,マルサンアイ株式会社,2025-09-20,外国法人等 個人,7,8,0.03
2551,マルサンアイ株式会社,2025-09-20,個人その他,"3,658","17,865",77.88
2551,マルサンアイ株式会社,2025-09-20,計,"3,729","22,938",100.00
2551,マルサンアイ株式会社,2025-09-20,単元未満株式の状況(株),,"2,376",
255A,ジーエルテクノホールディングス株式会社,2026-03-31,政府及び地方公共団体,0,0,0
255A,ジーエルテクノホールディングス株式会社,2026-03-31,金融機関,8,"6,730",4.94
255A,ジーエルテクノホールディングス株式会社,2026-03-31,金融商品取引業者,23,"6,086",4.46
255A,ジーエルテクノホールディングス株式会社,2026-03-31,その他の法人,137,"23,791",17.45
255A,ジーエルテクノホールディングス株式会社,2026-03-31,外国法人等 個人以外,88,"20,397",14.96
255A,ジーエルテクノホールディングス株式会社,2026-03-31,外国法人等 個人,9,144,0.11
255A,ジーエルテクノホールディングス株式会社,2026-03-31,個人その他,"5,652","79,168",58.08
255A,ジーエルテクノホールディングス株式会社,2026-03-31,計,"5,917","136,316",100.00
255A,ジーエルテクノホールディングス株式会社,2026-03-31,単元未満株式の状況(株),,"49,630",
256A,飛島ホールディングス株式会社,2026-03-31,政府及び地方公共団体,,,
256A,飛島ホールディングス株式会社,2026-03-31,金融機関,20,"32,891",17.5
256A,飛島ホールディングス株式会社,2026-03-31,金融商品取引業者,32,"9,800",5.2
256A,飛島ホールディングス株式会社,2026-03-31,その他の法人,254,"22,870",12.1
256A,飛島ホールディングス株式会社,2026-03-31,外国法人等 個人以外,83,"27,216",14.4
256A,飛島ホールディングス株式会社,2026-03-31,外国法人等 個人,34,272,0.1
256A,飛島ホールディングス株式会社,2026-03-31,個人その他,"17,744","95,426",50.6
256A,飛島ホールディングス株式会社,2026-03-31,計,"18,167","188,475",100.0
256A,飛島ホールディングス株式会社,2026-03-31,単元未満株式の状況(株),,"378,368",
2573,北海道コカ・コーラボトリング株式会社,2025-12-31,政府及び地方公共団体,,,
2573,北海道コカ・コーラボトリング株式会社,2025-12-31,金融機関,8,"2,676",1.97
2573,北海道コカ・コーラボトリング株式会社,2025-12-31,金融商品取引業者,15,815,0.60
2573,北海道コカ・コーラボトリング株式会社,2025-12-31,その他の法人,89,"92,727",68.21
2573,北海道コカ・コーラボトリング株式会社,2025-12-31,外国法人等 個人以外,44,"3,230",2.38
2573,北海道コカ・コーラボトリング株式会社,2025-12-31,外国法人等 個人,31,42,0.03
2573,北海道コカ・コーラボトリング株式会社,2025-12-31,個人その他,"21,142","36,440",26.81
2573,北海道コカ・コーラボトリング株式会社,2025-12-31,計,"21,329","135,930",100.00
2573,北海道コカ・コーラボトリング株式会社,2025-12-31,単元未満株式の状況(株),,"14,996",
2579,コカ・コーラボトラーズジャパンホールディングス株式会社,2025-12-31,政府および地方公共団体,,,
2579,コカ・コーラボトラーズジャパンホールディングス株式会社,2025-12-31,金融機関,30,"261,590",15.334
2579,コカ・コーラボトラーズジャパンホールディングス株式会社,2025-12-31,金融商品取引業者,31,"79,948",4.686
2579,コカ・コーラボトラーズジャパンホールディングス株式会社,2025-12-31,その他の法人,616,"520,524",30.513
2579,コカ・コーラボトラーズジャパンホールディングス株式会社,2025-12-31,外国法人等 個人以外,325,"594,996",34.879
