証券コード,会社名,会計基準,決算期,年度,指標,値,この値の基準,出所書類,本体か訂正か
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2021,営業CF,-234988000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2022,営業CF,-148780000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2023,営業CF,68710000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2024,営業CF,-217944000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2025,営業CF,-299265000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2024,営業利益,-212851000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2025,営業利益,-396748000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2024,売上高,194643000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2025,売上高,91140000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2021,従業員数,14,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2022,従業員数,14,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2023,従業員数,15,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2024,従業員数,19,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2025,従業員数,19,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2021,純利益,-232319000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2022,純利益,-141381000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2023,純利益,33048000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2024,純利益,-236442000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2025,純利益,-425671000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2021,純資産,1683971000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2022,純資産,1542590000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2023,純資産,1575639000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2024,純資産,2209548000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2025,純資産,1783876000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2021,経常利益,-240082000,JGAAP,S100XSIT,本体
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Japan GAAP,12月期,2022,経常利益,-138455000,JGAAP,S100XSIT,本体
